image	caption
/content/MediaEval_NewsImages/Training Dataset/99C0B145B336E62FFAA36FB955FE0CF2.jpg	16-Year-Old Died In An Accident While Working At A Poultry Plant | NewsRadio WKCY hour division labor department wage health administration united states mar-jac poultry
/content/MediaEval_NewsImages/Training Dataset/022FB4047389C665142E24BA533D228F.jpg	Firms with flex-work policies are hiring faster than those fully in office content agency technologies inc
/content/MediaEval_NewsImages/Training Dataset/7D8DD8098AE5266DB35C68E94F5214DD.jpg	How a US soldier made a mad dash into North Korea smith matt spetalnick andrei lankov sandra maler sarah leslie don durfee victor cha otto warmbier korea risk group service ribbon korean rotational national defense service medal korean defense service medal u s army private travis t king reuters
/content/MediaEval_NewsImages/Training Dataset/9453014B06898F46220309C0556545ED.jpg	How Simple Human Kindness Inspired Tenille Townes' Latest EP parton tenille townes carrie underwood ashley mcbryde mike fisher 
/content/MediaEval_NewsImages/Training Dataset/BC596F8F42F6C06084532D1BEC53691E.jpg	US approves $1.3 billion package of long-term military aid for Ukraine advanced missile system ukraine security assistance initiative
/content/MediaEval_NewsImages/Training Dataset/2DDA1050889E4E6E7274A00FBF90E793.jpg	Simple, 1-skillet chicken dinner evokes feelings of summer â€“ Times News Online julia child nestle
/content/MediaEval_NewsImages/Training Dataset/9EE44A97DB10968C551E1CCB2716A372.jpg	Donald Trump's bid to move hush money criminal case rejected by judge k hellerstein stormy daniels donald trump karen mcdougal michael cohen mary altaffer alvin bragg charlie neibergall susan necheles matthew colangelo playboy white house us circuit court national enquirer oval office
/content/MediaEval_NewsImages/Training Dataset/D5D71D5843951FC01E65D6B61F10EE88.jpg	SEC Media Days: What we learned from Alabama, Florida and others on Day 3 pittman devin leary gus malzahn notre dame nick saban hunter yurachek billy napier tyler buchner jalen milroe mark stoops barry odom travis williams bank field university of central florida
/content/MediaEval_NewsImages/Training Dataset/E8CD5B2C3FF44DE2F51E0C0C0A1A20A6.jpg	Hear a preview of Lady A's new song, Love You Back scott charles kelley dave haywood 
/content/MediaEval_NewsImages/Training Dataset/E10AAF224A9B0A006650B56E8C7279D3.jpg	Raffle to raise money for essential needs at Maple Ridge hospital meadows hospital foundation ridge meadows foundation
/content/MediaEval_NewsImages/Training Dataset/0070CE162D4761C9C3E8299DBB01D103.jpg	Former funeral director charged criminally | Chatham Daily News taylor andrew gamble david brazeau paul l taylor shabbir dossa cremation inc funeral service compensation fund bereavement authority of ontario
/content/MediaEval_NewsImages/Training Dataset/C5F92410186769A3512D0AF29CE2DF45.jpg	UPS, Teamsters Restart Talks to Head Off Potential Strike brotherhood of teamsters united parcel service inc
/content/MediaEval_NewsImages/Training Dataset/FCF54E02298B187CBFCA900AAEE136AB.jpg	Two mothers united by tragedy, organ donation stun with probably the most magical moment... ever experienced on America's Got Talent' scadlock simon cowell dcorey johnson heidi klum putri ariani holly campbell jake campbell lyndsey parker beckham scadlock howie mandel los angeles 
/content/MediaEval_NewsImages/Training Dataset/95324CE83E2F5AC9C0E492EB531312B9.jpg	Leo Varadkar meets Ukrainian actor in Kyiv after Dublin assault zelensky clodagh kilcoyne brian friel oleksandr hrekov clodagh kilcoyne catherine martin leo varadkar oleksandr hrekov lesya ukrainka national academic drama theatre
/content/MediaEval_NewsImages/Training Dataset/CD0A48824D13BC5FD8B56664C9E8FA47.jpg	Export receipt rules must not hurt cashfl ow: Kadin joko jokowi widodo google
/content/MediaEval_NewsImages/Training Dataset/BC69DE4EE26D0D811E5C7122F15030D8.jpg	UAE President Mohamed bin Zayed receives Turkey's President Recep Tayyip Erdogan, speaks of close and historic ties between the two nations al nahyan tugay tuncer abu dhabi tayyip erdogan sheikh mohamed qasr al watan ahmed al zeyoudi al zeyoudi emirates news agency recep tayyip erdogan to gulf cooperation council strategic council economic partnership agreement
/content/MediaEval_NewsImages/Training Dataset/1F892313042E73BF7019103C7A2D0C1C.jpg	New leader of Moldovan region thanks exiled patron, backs ties with Russia gutul maia sandu ilan shor moldova constitutional court european union
/content/MediaEval_NewsImages/Training Dataset/1932004E13675BE560701B519177B818.jpg	New data finds subscriptions services first to go in cost-of-living crisis sentiment australian bureau of statistics
/content/MediaEval_NewsImages/Training Dataset/25EC81F7BCA27146B16F2DB3ECB5EE20.jpg	Trump loses bid to move hush-money case to federal court jean carroll donald trump alvin hellerstein district court
/content/MediaEval_NewsImages/Training Dataset/EB4115A5103A4422C65FDEBCA650D0E8.jpg	Ex-Patriots Player Says Belichick's Success 'Was All' From Tom Brady | Elvis Duran and the Morning Show brady darrelle revis mac jones louis riddick bryant mcfadden bill belichick cam newton twitter espn
/content/MediaEval_NewsImages/Training Dataset/74A122ED2AE76B25844A42D5F43C82C9.jpg	Arrested California nurse practitioner has abused boys, men worldwide for decades, FBI says earl reger russell quiniola sam stanton u s department of homeland security united states lassen ambulance service california department of consumer affairs lassen county sheriff office sheriff office susanville church mountain ems inc
/content/MediaEval_NewsImages/Training Dataset/C147F39F56EC805661F6451CEB75A037.jpg	A Famous Wisconsin Festival Is Suing The Minnesota Twins world festival inc
/content/MediaEval_NewsImages/Training Dataset/45AE342047D53FA62D5A97B0E447AF2A.jpg	'Am I crossing picket lines if I see a movie?' and other Hollywood strike fan questions answered equity association netflix television producers alliance of motion
/content/MediaEval_NewsImages/Training Dataset/9AE86B68C03040EF1E655CE16B4A164E.jpg	Robin Noble: Boulder should wait on cannabis hospitality city council city council
/content/MediaEval_NewsImages/Training Dataset/2875FFEFC07C5D510396321554B478E1.jpg	Multiple People Injured as Car Slams Into Maine Moose, Kills It center maine
/content/MediaEval_NewsImages/Training Dataset/1C46ADC24A1CEA8CBBE1F3CEE072BA99.jpg	Meta releases AI model for commercial use, partnering with Microsoft web services facebook reuters microsoft
/content/MediaEval_NewsImages/Training Dataset/B27310C1891195F8708866489774EB49.jpg	Breaking National News - 92.7-FM TheDRIVE - Bob & Tom Mornings, Central New York's Best Rock All Day bragg michael cohen donald trump stormy daniels alvin hellerstein eva marie uzcategui bloomberg white house york state supreme court
/content/MediaEval_NewsImages/Training Dataset/FFBDCF18A2D918E2BA22DC42ABE0F88A.jpg	Measles has ruined my health for life. Don't let it happen to your child too, says JENNI MURRAY wakefield tim shaddock christopher robin roald dahl victoria beckham george clooney doug ross marketa vondrousova world health organisation united kingdom health security agency
/content/MediaEval_NewsImages/Training Dataset/04EB592F97DD6EBB1D52BC0CD3A04D73.jpg	Lottery fever: Why do giant jackpots like Powerball whip people into a frenzy? williams eric storch stephen goldbart kevork djansezian getty menninger department powerball product group baylor college of medicine university of lethbridge choices institute
/content/MediaEval_NewsImages/Training Dataset/9C6FDBB108B2BF41DFE8ED20E7454DE6.jpg	Minnesota Woman Who Designed Barbie's Outfits for 35 Years spencer barbie thierry chesnot carol spencer jackie kennedy minneapolis school of fine arts mattel
/content/MediaEval_NewsImages/Training Dataset/5786AB0AC0139B7116AE5D64BC8426D4.jpg	Your air conditioner isn't built for this heat. 5 tips can boost performance garimella james barry brandon bell getty reinhard radermacher scott neumanjul league city university of maryland
/content/MediaEval_NewsImages/Training Dataset/0638D6DCC0FB95B0542B34558B3B4365.jpg	Military veteran who stormed Capitol with loaded pistol is sentenced to 7 years in prison cooper shalin nohria joe biden christopher michael alberts stephen sherman virginia national guard associated press capitol police
/content/MediaEval_NewsImages/Training Dataset/6EDAB96E665C76F006A6F466BAD76A05.jpg	Are Chocolate Chips Vegan? Their Vegan Status In [UK] 2023 rebezov kannan r r rengasamy mohammad ali shariati gerardo tamez gonz henryk ka jurislav babi claudia gonzalez viejo antun jozinovi muthu thiruvengadam wojciech ka mirela kopjar health canal research vegan brands vegan society
/content/MediaEval_NewsImages/Training Dataset/719938B278B3227E9FFB57ACE6A644B2.jpg	Bella Hadid & Marc Kalman Split After 2 Years of Dating (Report) | Bella Hadid, Marc Kalman, Split | Just Jared: Celebrity News and Gossip marc kalman bella hadid instagram
/content/MediaEval_NewsImages/Training Dataset/1E2298503423BB06C9B9A0B9E9543AD9.jpg	Varadkar pledges unwavering solidarity with Ukraine on day-long visit to Kyiv friel volodymyr zelensky ruslan stefanchuk clodagh kilcoyne verkhovna rada oleksandra sasha kuvshynova andrei kostin kyiv leo varadkar denys shmyhal oleksandr hrekov clodagh kilcoyne michael square kyiv clodagh kilcoyne leo varadkar oleksandr hrekov pierre zakrzewski lesya ukrainka national academic drama theatre
/content/MediaEval_NewsImages/Training Dataset/6254CE51A425185A08E09DCF816CED6C.jpg	Flood-like situation in Jammu, many rivers breach danger mark singh mata vaishno devi vaishno devi indian meteorological department union territory centre jammu
/content/MediaEval_NewsImages/Training Dataset/7947B7DFC2963EAC496497457ED94D26.jpg	Why Is It So Hot This Summer? When Will It Cool Off? centers atmospheric administration climate extremes committee national oceanic
/content/MediaEval_NewsImages/Training Dataset/6D64C7A3B2FE4F7D8A7F878CCCF153EF.jpg	Cucalorus Film Festival named in MovieMaker's coolest film festivals in the world molloy dan brawley hannah patrick cucalorus cucalorus xolo mariduena anchorage international film festival
/content/MediaEval_NewsImages/Training Dataset/CEF6AFC602F21CD3EB8050140F6AE75F.jpg	Texans Who Love Christmas Can Set Sail on Hallmark's Cruise nordli mathisen peter hansen hallmark channel
/content/MediaEval_NewsImages/Training Dataset/466ED8849B5B94D4030222DE19163822.jpg	European heat wave breaking records with little relief in sight - WEIS | Local & Area News, Sports, & Weather waugh andrea ronchini nurphoto jim jones kai kornhuber antonio sano john nairn european space agency italian ministry of health columbia university world health organization university of richmond
/content/MediaEval_NewsImages/Training Dataset/47CBF6E405309F99E62BF01A59D0BA98.jpg	Florida kept disabled kids in institutions. A judge is sending them home. ehlenbach kristen clarke sydney walsh donald m middlebrooks kidz korner heather patten jeffery herrion dorothy newton dorothy newtown amanda morris allan greissman shira wakschlag university of wisconsin department of justice washington post u s department of justice pediatric complex care program florida agency for health care administration florida department of health united states district court civil rights division
/content/MediaEval_NewsImages/Training Dataset/62E625B047FE09A8000B750E93F65084.jpg	Oommen Chandy: A politician who helped sans questions chandy susheela velayudhan albin thomas oomen chandy member of legislative assembly kozhikode medical college
/content/MediaEval_NewsImages/Training Dataset/DAF7A430B46E8E81CB04BD71BB71094A.jpg	Minnesota Bureau of Criminal Apprehension Warns Of New Phone Scam bureau of criminal apprehension northland that have great customer service facebook
/content/MediaEval_NewsImages/Training Dataset/B8FF3EF510AC8FDF9FC21506E77A1729.jpg	Watch Maine Native Pick Up a Cute Girl at a Boston Bar kohl valle uhaul
/content/MediaEval_NewsImages/Training Dataset/620945813752CD864A75FFFE6E97D9B5.jpg	Multiple public art pieces vandalized in Creston; 3 masked suspects at large jim unger facebook
/content/MediaEval_NewsImages/Training Dataset/55DEB8998292F512133A491D690F5FD9.jpg	MacMaster, Leahy perform in Mitchell | Seaforth Huron Expositor murray donnell leahy natalie macmaster mitchell golf country club on aug perth village senior community mitchell community outreach
/content/MediaEval_NewsImages/Training Dataset/6CD322686D0A5C5B2E89E99192192066.jpg	100 Women Who Care donate over $20K to community meals program community meals chesley baptist church
/content/MediaEval_NewsImages/Training Dataset/803AE23D0D7C6258092DCBA4D1CB1D85.jpg	Investors Have Incomplete Data on Corporate Emissions. GMO Wants to Change That. state construction engineering corporation
/content/MediaEval_NewsImages/Training Dataset/CFF4A2D5C62146481880C1F6D912A164.jpg	Sunak braces Tories for 'tough battle' in Thursday's three by-elections gullis boris johnson nigel adam david warburton keir starmer 
/content/MediaEval_NewsImages/Training Dataset/37DCBCAA7CF324ACE51ABFC20DA843CA.jpg	Former Green co-leader selected to fight for party's seat at next election lucas jonathan bartley brighton pavilion in parliament camden borough council london assembly
/content/MediaEval_NewsImages/Training Dataset/7E81B0A17CDE295F0EBB5C604D301300.jpg	American woman in Dubai charged with screaming in public gambrell burj khalifa aya batrawy national desk
/content/MediaEval_NewsImages/Training Dataset/D46E812FA500D388D524F5553A2FAD4C.jpg	Britney Spears & Will.i.am Release Teaser For Upcoming Collab britney spears twitter
/content/MediaEval_NewsImages/Training Dataset/E2B510A31491CC4DF1F6FD31EB822B6C.jpg	Green groups demand US end talks on certified natural gas standards granholm brad crabtree timothy gardner joe biden department of energy gas coordinating council reuters u s energy sierra club natural resources defense council united states
/content/MediaEval_NewsImages/Training Dataset/00B3D27C173205272331724BC339A22A.jpg	Little relief in sight from onslaught of searing heat and rising floodwaters in parts of US nino jon hayden christopher burt andy beshear weather company university of maine climate reanalyzer national weather service united states
/content/MediaEval_NewsImages/Training Dataset/91434C07A6A0507F612BCE07978ADAB4.jpg	From 'Brain Drain' to 'Drained Brain' â€“ Kashmir Reader writer association medecins sans frontieres
/content/MediaEval_NewsImages/Training Dataset/A0F06642876ACB6B09EF4321CB94B612.jpg	Is Vodka Gluten Free: Gluten-Free Beverages For 2023 of gluten celiac disease foundation celiac disease foundation health canal national celiac association
/content/MediaEval_NewsImages/Training Dataset/2FF98CA9129B37492B431F0083363942.jpg	Brantford nominated for award related to filming of The Handmaid's Tale film commission location managers guild international
/content/MediaEval_NewsImages/Training Dataset/E0811C90BC524D42BCFCD96012115750.jpg	Morocco's king invites Israel PM for visit after Western Sahara recognition hanegbi king mohammed nasser bourita benjamin netanyahu donald trump reuters
/content/MediaEval_NewsImages/Training Dataset/5DB190A2250A5DE6BD27BEFFA4C15DF9.jpg	Attorney General Stein discusses environmental concerns stein clark edwards todd miller mark hibbs acorn court carolina coastal federation coastal federation
/content/MediaEval_NewsImages/Training Dataset/A489955354137DE21CC89DDC0A5C955A.jpg	U.S. sanctions 14 Iraqi banks in crackdown on Iran dollar trade chiacu timour azhari akanksha khushi michael s derby kanishka singh daphne psaledakis u s treasury department federal reserve bank united states treasury department reuters
/content/MediaEval_NewsImages/Training Dataset/DD2395BD9283555330E1B0085D722365.jpg	Carlee Russell latest: Police detail online searches, 911 call derzis carlee russell frank v brocato talitha russell hoover police facebook
/content/MediaEval_NewsImages/Training Dataset/1770B94FDF62710317950972192E317C.jpg	Florida Gators players notebook from SEC Media Days mertz jason marshall kingsley eguakun ricky pearsall billy gonzales billy napier austin armstrong 
/content/MediaEval_NewsImages/Training Dataset/B4DC12AFCD6D991EB67775BBA798D5D1.jpg	What to do if there are PFAS in your water department of environmental management u s environmental protection agency water quality association international bottled water association environmental protection agency
/content/MediaEval_NewsImages/Training Dataset/A5FF793E300F9A5A1ACEB0921E26CAF6.jpg	Kim Petras Reveals How She Felt After Her Original Debut Album Leaked minaj kim petras sam smith 
/content/MediaEval_NewsImages/Training Dataset/9F04CFE0DDBA1FE2925F7ACFD12F0CBA.jpg	Kalamazoo man facing several charges after multi-law enforcement chase and arrest county sheriff office michigan university police on stadium township of kalamazoo police department michigan state police
/content/MediaEval_NewsImages/Training Dataset/5977476D371A08807B962A128E753011.jpg	U.K. inflation falls by more than anticipated to a 15-month low smith jeremy hunt kallum pickering dave ramsden european union berenberg bank resolution foundation
/content/MediaEval_NewsImages/Training Dataset/8055F8978DE28C6FEF4F0EE1775DEFB6.jpg	Arkansas attorney general joins alliance to address organized retail crime america coalition retail crime alliance retail industry leaders association
/content/MediaEval_NewsImages/Training Dataset/CB4DCA68430F37EC1DD0588FFF37A3A3.jpg	Mississippi deputies corral camel that escaped from nearby farm russell deputy jared hagan robin blount facebook forrest county sheriff office
/content/MediaEval_NewsImages/Training Dataset/D9678D4AE1E6A06F3A5EF6ECDE899641.jpg	Jenna Ortega & Paul Rudd to star in film despite strike mcconaughey rebel wilson mark walhberg maria loreto duncan crabtree mel gibson jenna ortega alliance of motion television producers
/content/MediaEval_NewsImages/Training Dataset/F25A2E6C986F5911EEFAD887769DBC4C.jpg	Netflix's 2Q subscriber growth surges in a sign that crackdown on password sharing is paying off factset research
/content/MediaEval_NewsImages/Training Dataset/F260125C670B9767D8A0D3D9ED129799.jpg	Salesforce CEO Warns San Francisco's Downtown Is 'Never' Coming Back sullivan getty elon musk charles stimson franco uomo goldman sach marc benioff london breed bob lee heritage foundation westfield san francisco centre walgreens whole foods twitter
/content/MediaEval_NewsImages/Training Dataset/51B93859674EB4679B2C3CA9F3734576.jpg	Over 400 People Found Dead, Allegedly Connected to Doomsday Cult mwiti paul mackenzie william ruto rhoda onyancha cnn reuters good news international church
/content/MediaEval_NewsImages/Training Dataset/9AC0B3541C7207B877D9064B8CC2BF57.jpg	Netflix stops offering basic membership plan in US inc netflix
/content/MediaEval_NewsImages/Training Dataset/9B2EE2901B3A92906987266A59E6DCEA.jpg	What residuals are â€” and why Hollywood actors and writers are striking over them denman zoe lister-jones kimiko glenn david duchovny will smith paul scheer leslie ambriz chris browning whitney morgan cox writers krysta fauria american federation of television netflix alliance of motion television producers screen actors guild
/content/MediaEval_NewsImages/Training Dataset/E6408AD966FDDF1D965E56073025A5F4.jpg	'Santa' will be in North Bay this weekend w howard santa school
/content/MediaEval_NewsImages/Training Dataset/3C2987A281F629558A8D7B5BE6F05924.jpg	Kelsea Ballerini To Host Exclusive 'Rolling Up The Welcome Mat' Screenings angeles kelsea ballerini amy brown 
/content/MediaEval_NewsImages/Training Dataset/B91FA5267D23A4B6931807FA065D056C.jpg	Aidan Hutchinson listed as Lions breakout player to watch sancya seattle seahawks aaron glenn aidan hutchinson detroit lions university of michigan
/content/MediaEval_NewsImages/Training Dataset/CD084E59F8C54E75DD858F37935B3FA7.jpg	Bethenny Frankel claims Andy Cohen 'told' her to marry ex-husband Jason Hoppy: 'Worst idea in history' bernon andy cohen jason hoppy jill zarin bethenny frankel 
/content/MediaEval_NewsImages/Training Dataset/31F7779CF8A977814DEB3BECED9B3744.jpg	Mahomes set to build off second Super Bowl title going into training camp reid mecole hardman patrick mahomes kadarius toney tershawn wharton chris jones isiah pacheco skyy moore travis kelce 
/content/MediaEval_NewsImages/Training Dataset/CA01AF0A80D270E010ED2A3CCE2F7DB7.jpg	No drug test for 'Rust' movie armorer as her trail looms in fatal shooting by Alec Baldwin morrissey hannah gutierrez-reed matthew hutchins jason bowles joel souza halyna hutchins mary marlowe sommer alec baldwin district court
/content/MediaEval_NewsImages/Training Dataset/DF88C0321D2F8F0DDFAEC07E04EE24CC.jpg	The Feather Report - Black & White and Red All Over - The Turtle Island News choir school boy
/content/MediaEval_NewsImages/Training Dataset/BACDADCE57912F221CA5583D46AEB1A7.jpg	Creed Reunite ... for a Cruise + Fans React cowboys twitter
/content/MediaEval_NewsImages/Training Dataset/53AEBDBB78B22EB34F1708A457C3D0EE.jpg	Sheeran, Ferentz, Clark To Perform Pre-Race Roles at Iowa ferentz george kittle ed sheeran jon mero jeremy gosch micah hyde maddie poppe brandon scherff caitlin clark naismith college player of the year radio network university of iowa
/content/MediaEval_NewsImages/Training Dataset/EB45BE0F3F455707A80DDA6FF1676CA5.jpg	Varadkar to stress morale boost EU accession could offer to Ukraine's soldiers kilcoyne volodymyr zelensky leo varadkar european union
/content/MediaEval_NewsImages/Training Dataset/40C18EF1674DB9903EBB18DB5BEB136B.jpg	Israeli president tells Congress his country is committed to democracy but concedes 'painful debate' tlaib pramila jayapal august pfluger chaim herzog kamala harris isaac herzog benjamin netanyahu white house congress on during an oval office
/content/MediaEval_NewsImages/Training Dataset/AABE93BA8DBD92A406CB14D95E39AD1B.jpg	Families of military members killed in 2020 Cyclone helicopter crash sue manufacturer canadian air u s federal court canadian armed
/content/MediaEval_NewsImages/Training Dataset/D749CD64985E9E1BE9141A1C2924D1BE.jpg	Audit: Death of 8-year-old at CBP South Texas medical facility 'clearly preventable' reyes alvarez anadith danay reyes alvarez priscilla orta department of homeland security u s district court
/content/MediaEval_NewsImages/Training Dataset/C22F677F9BD572639C8A8E2B25498092.jpg	Aquaman 2 Might Not Feature Batman (Or Batmen) After All emmerich michael de luca james wan ben affleck walter hamada patrick wilson pamela abdy james gunn jason mamoa warner bros
/content/MediaEval_NewsImages/Training Dataset/EB95980DA42626D81DC5ED70A7EE6EF4.jpg	Local hospitals receive increased funding though new stabilization effort lisa thompson huron-bruce rick byers bruce sylvia jones northern hospital stabilization fund grey bruce health services bruce grey health centre seaforth community hospital
/content/MediaEval_NewsImages/Training Dataset/731B3A766D7DC2B65D74A44F7930582A.jpg	Sheryl Crow slams Jason Aldean for 'promoting violence' with new song â€“ NBC Chicago aldean henry choate sheryl crow las vegas jason aldean instagram
/content/MediaEval_NewsImages/Training Dataset/E53362715358F6B7C4B8C2BCC8EB3641.jpg	Recipe: The perfect summer potato salad | Grande Prairie Daily Herald Tribune pinterest national post vancouver sun
/content/MediaEval_NewsImages/Training Dataset/0CAE2D702C87567EF22C44978164BB7C.jpg	5th Indiana Baby This Year Placed In Safe Haven Baby Box administration united states
/content/MediaEval_NewsImages/Training Dataset/BEA0C5FC89CBFB8405DDD8CA24AC6DC5.jpg	New York Shines as One of the Greenest States in the Nation states american council
/content/MediaEval_NewsImages/Training Dataset/83FEF48AE987A032875B8341E37008C6.jpg	Lisa Marie Presley's friends react to her secret weight-loss presley riley keough michael lockwood priscilla presley lisa marie ben keough baz luhrmann benjamin keough michael lockwood jeffrey augustine lisa marie presley danny keough 
/content/MediaEval_NewsImages/Training Dataset/78B9C953BF4EA1FB06F6D96E2C9A9D3E.jpg	UNDER THE RADAR: Little Rock Central's Daniel Culberson jewell daniel culberson ouachita baptist brian ross college of charleston colorado college
/content/MediaEval_NewsImages/Training Dataset/A2ECD95CF42F9A37F3328EF3536DF4D1.jpg	Congressman Joaquin Castro, Hispanic Caucus seek public input on Latino film nominations to National Film Registry castro gregorio cortez library of congress national registry national film registry librarian of congress national film preservation board united states
/content/MediaEval_NewsImages/Training Dataset/DA880A09E50A968471C77E65C267A06A.jpg	Why experts say more Americans need to consider flood insurance browne anson tebbetts amy rodger united states national flood insurance program johns university university of maryland professor gregory baecher
/content/MediaEval_NewsImages/Training Dataset/ECC75980408855A24CFD88AAF2481D8A.jpg	Dierks Bentley Remembers Experiencing CMA Fest In The 90s bentley keith urban luke bryan tim mcgraw miranda lambert jon pardi ashley mcbryde jason aldean carly pearce elle king 
/content/MediaEval_NewsImages/Training Dataset/28E0624A1D2558C5B855754151F125BA.jpg	Who was Hollyoaks actress Frankie Jules-Hough? How did she die? holt adil iqbal frankie julia hough frankie jules-hough polly herbert frankie hough rob hall rose gibson-harper balbir singh rose gibson maurice greene paul danan sol patrick paul danan sol patrick steven conor ryan crown court bmw instagram
/content/MediaEval_NewsImages/Training Dataset/42F68BDFE8CBCDDAF1AACA545C4ACA46.jpg	US government agencies target purchasing 9,500 EVs in 2023 accountability office
/content/MediaEval_NewsImages/Training Dataset/34BD27CF37971952F7095CCC45049017.jpg	RICHARD EDEN: The Â£25m palace fit for a Queenâ€¦ guitarist! dobson queen elizabeth brian may queen anita king brian 
/content/MediaEval_NewsImages/Training Dataset/0DA4122736083B7DFC398D693AC365DE.jpg	The debate over congressional stock trading r-texas josh hawley r-mo tommy tuberville r-al holdings in congressional stocks silicon valley bank new york times cnn
/content/MediaEval_NewsImages/Training Dataset/14087028AE31CC8A06187E7AA3B4282F.jpg	Tesla Q2 sales beat estimates as Elon Musk's price cuts drive demand states reuters
/content/MediaEval_NewsImages/Training Dataset/2E8DC4A2C7E98D1C253918558678E6D8.jpg	NFL Rumors: Patriots make a run at Tom Brady's former teammate brady tom pelissero tompelissero dalvin cook rhamondre stevenson lombardi lenny leonard fournette network tom pelissero
/content/MediaEval_NewsImages/Training Dataset/87C2D5E8254E80F045BA0E39AA2A46EB.jpg	Breaking National News - 92.7-FM TheDRIVE - Bob & Tom Mornings, Central New York's Best Rock All Day sheils matilda mattie sheils linda depiero tim brewer conrad sheils katie seley susan barnhardt police department bucks county coroner office as enzo depiero upper makefield fire company
/content/MediaEval_NewsImages/Training Dataset/81098514538EBC7A849587052A19E3F5.jpg	Maine Changes Rules, Regulations on Fishing Striper Striped Bass department of inland fisheries
/content/MediaEval_NewsImages/Training Dataset/1E2E494234DAF6C0B3C74A44A361CF52.jpg	Jill Biden welcomes proposal for Medicare to pay for navigation services for cancer patients services centers for medicare united states
/content/MediaEval_NewsImages/Training Dataset/CF7CCDAF65E44FAC787755C075305B3A.jpg	Freebies for Natl Hot Dog Day TODAY!! | Mix 97.3 hot dog day wienerschnitzel chili
/content/MediaEval_NewsImages/Training Dataset/EAF9926B3F4BA4037C1E4D55C3E830E6.jpg	Why the SEC Blew Off the Leveraged Loan Debate reserve treasury department deposit insurance corporation office of the comptroller trading association duke university school of law sullivan cromwell second circuit court exchange commission
/content/MediaEval_NewsImages/Training Dataset/02E675F85CF838EC665F9AC94603C724.jpg	SIU leads nationwide NASA project to gather data from sun during 2024 eclipse mandrell bob baer cori brevik russell bailey tim crosby matt penn harvey henson karla berry school of media arts researchers at southern illinois university carbondale westminster college moorhead state university national science foundation university of michigan vincennes university pope county high school california state university school of physics university of illinois education research center langara college dynamic eclipse broadcast initiative national solar observatory united states
/content/MediaEval_NewsImages/Training Dataset/5AA727D5AF9511C7154E436C7ED25D0E.jpg	Deceased in Spooner collision second highway death in Douglas for 2023 state police toyota
/content/MediaEval_NewsImages/Training Dataset/AC88C69B5F6FAD7797832A06BF119300.jpg	Anatoly Malykhin Talks Amir Aliakbari's Win at ONE Fight Night 12 ngannou anatoly malykhin tyson fury amir aliakbari 
/content/MediaEval_NewsImages/Training Dataset/01A87E06459A24087723D7504D91C560.jpg	Bill seeks to ensure clean water for tribal communities neguse phillip yazzie martin heinrich john hickenlooper michael bennet indian health service environmental protection agency u s department of agriculture u s supreme court bureau of reclamation university of southern california felicia fonseca associated
